DT_ID,USPH_OC_AVG
2023-08-15 00:00:00,105.919998
2023-08-16 00:00:00,103.079998
2023-08-17 00:00:00,101.224998
2023-08-18 00:00:00,101.745003
2023-08-21 00:00:00,102.290001
2023-08-22 00:00:00,102.764999
2023-08-23 00:00:00,102.380001
2023-08-24 00:00:00,100.855000
2023-08-25 00:00:00,101.084999
2023-08-28 00:00:00,101.495003
2023-08-29 00:00:00,102.139999
2023-08-30 00:00:00,102.829998
2023-08-31 00:00:00,101.945000
2023-09-01 00:00:00,100.939999
2023-09-05 00:00:00,99.075001
2023-09-06 00:00:00,97.535000
2023-09-07 00:00:00,96.119999
2023-09-08 00:00:00,94.290001
2023-09-11 00:00:00,93.385002
2023-09-12 00:00:00,93.049999
2023-09-13 00:00:00,93.730000
2023-09-14 00:00:00,95.055000
2023-09-15 00:00:00,94.484997
2023-09-18 00:00:00,94.360001
2023-09-19 00:00:00,95.225002
2023-09-20 00:00:00,96.225002
2023-09-21 00:00:00,95.195000
2023-09-22 00:00:00,95.690002
2023-09-25 00:00:00,95.809998
2023-09-26 00:00:00,95.230000
2023-09-27 00:00:00,94.505001
2023-09-28 00:00:00,94.545002
2023-09-29 00:00:00,93.350002
2023-10-02 00:00:00,92.015003
2023-10-03 00:00:00,91.355003
2023-10-04 00:00:00,90.990002
2023-10-05 00:00:00,90.674999
2023-10-06 00:00:00,91.135002
2023-10-09 00:00:00,90.855000
2023-10-10 00:00:00,90.160000
2023-10-11 00:00:00,88.595001
2023-10-12 00:00:00,86.610001
2023-10-13 00:00:00,86.189999
2023-10-16 00:00:00,87.619999
2023-10-17 00:00:00,87.810001
2023-10-18 00:00:00,88.105000
2023-10-19 00:00:00,88.380001
2023-10-20 00:00:00,88.365002
2023-10-23 00:00:00,87.095001
2023-10-24 00:00:00,86.630001
2023-10-25 00:00:00,86.614998
2023-10-26 00:00:00,86.029999
2023-10-27 00:00:00,84.395000
2023-10-30 00:00:00,84.700001
2023-10-31 00:00:00,84.020000
2023-11-01 00:00:00,83.814999
2023-11-02 00:00:00,83.679996
2023-11-03 00:00:00,84.410000
2023-11-06 00:00:00,85.090000
2023-11-07 00:00:00,85.259998
2023-11-08 00:00:00,81.885002
2023-11-09 00:00:00,81.360001
2023-11-10 00:00:00,81.275002
2023-11-13 00:00:00,82.165001
2023-11-14 00:00:00,85.930000
2023-11-15 00:00:00,86.895000
2023-11-16 00:00:00,86.145000
2023-11-17 00:00:00,85.220001
2023-11-20 00:00:00,85.259998
2023-11-21 00:00:00,85.264999
2023-11-22 00:00:00,86.570000
2023-11-24 00:00:00,87.900002
2023-11-27 00:00:00,87.599998
2023-11-28 00:00:00,86.795002
2023-11-29 00:00:00,85.494999
2023-11-30 00:00:00,85.524998
2023-12-01 00:00:00,86.250000
2023-12-04 00:00:00,87.754997
2023-12-05 00:00:00,87.925003
2023-12-06 00:00:00,88.500000
2023-12-07 00:00:00,89.029999
2023-12-08 00:00:00,89.084999
2023-12-11 00:00:00,90.244999
2023-12-12 00:00:00,91.160000
2023-12-13 00:00:00,91.538750
2023-12-14 00:00:00,93.315002
2023-12-15 00:00:00,91.060001
2023-12-18 00:00:00,89.299999
2023-12-19 00:00:00,91.025002
2023-12-20 00:00:00,92.680000
2023-12-21 00:00:00,94.019997
2023-12-22 00:00:00,94.660000
2023-12-26 00:00:00,95.399998
2023-12-27 00:00:00,95.244999
2023-12-28 00:00:00,95.195000
2023-12-29 00:00:00,94.279999
2024-01-02 00:00:00,93.540001
2024-01-03 00:00:00,92.904999
2024-01-04 00:00:00,93.279999
2024-01-05 00:00:00,92.639999
2024-01-08 00:00:00,93.485001
2024-01-09 00:00:00,93.435001
2024-01-10 00:00:00,93.920002
2024-01-11 00:00:00,95.079998
2024-01-12 00:00:00,95.475002
2024-01-16 00:00:00,94.639999
2024-01-17 00:00:00,93.730003
2024-01-18 00:00:00,93.559998
2024-01-19 00:00:00,93.955002
2024-01-22 00:00:00,94.599998
2024-01-23 00:00:00,94.800003
2024-01-24 00:00:00,94.369999
2024-01-25 00:00:00,94.764999
2024-01-26 00:00:00,94.420002
2024-01-29 00:00:00,95.311249
2024-01-30 00:00:00,95.940002
2024-01-31 00:00:00,94.410000
2024-02-01 00:00:00,93.430000
2024-02-02 00:00:00,93.880001
2024-02-05 00:00:00,93.035000
2024-02-06 00:00:00,93.224998
2024-02-07 00:00:00,93.529999
2024-02-08 00:00:00,93.634998
2024-02-09 00:00:00,94.945000
2024-02-12 00:00:00,96.224998
2024-02-13 00:00:00,93.760002
2024-02-14 00:00:00,95.305000
2024-02-15 00:00:00,97.245003
2024-02-16 00:00:00,99.719997
2024-02-20 00:00:00,101.270000
2024-02-21 00:00:00,101.820000
2024-02-22 00:00:00,101.675003
2024-02-23 00:00:00,101.940002
2024-02-26 00:00:00,101.225002
2024-02-27 00:00:00,101.889999
2024-02-28 00:00:00,101.375000
2024-02-29 00:00:00,104.169998
2024-03-01 00:00:00,105.600002
2024-03-04 00:00:00,105.544998
2024-03-05 00:00:00,104.744999
2024-03-06 00:00:00,104.625000
2024-03-07 00:00:00,105.775002
2024-03-08 00:00:00,105.575001
2024-03-11 00:00:00,104.940002
2024-03-12 00:00:00,106.025002
2024-03-13 00:00:00,107.340000
2024-03-14 00:00:00,106.720001
2024-03-15 00:00:00,106.139999
2024-03-18 00:00:00,107.080002
2024-03-19 00:00:00,108.119999
2024-03-20 00:00:00,108.889999
2024-03-21 00:00:00,109.695000
2024-03-22 00:00:00,110.745003
2024-03-25 00:00:00,110.790001
2024-03-26 00:00:00,110.365002
2024-03-27 00:00:00,110.639999
2024-03-28 00:00:00,111.835003
2024-04-01 00:00:00,112.889999
2024-04-02 00:00:00,109.019997
2024-04-03 00:00:00,106.160000
2024-04-04 00:00:00,106.064999
2024-04-05 00:00:00,106.095001
2024-04-08 00:00:00,107.105003
2024-04-09 00:00:00,107.275002
2024-04-10 00:00:00,104.525002
2024-04-11 00:00:00,104.825001
2024-04-12 00:00:00,103.154999
2024-04-15 00:00:00,101.975002
2024-04-16 00:00:00,99.975002
2024-04-17 00:00:00,99.165001
2024-04-18 00:00:00,97.754997
2024-04-19 00:00:00,98.339996
2024-04-22 00:00:00,99.880001
2024-04-23 00:00:00,101.880001
2024-04-24 00:00:00,103.020000
2024-04-25 00:00:00,101.715000
2024-04-26 00:00:00,100.665001
2024-04-29 00:00:00,101.380001
2024-04-30 00:00:00,101.455002
2024-05-01 00:00:00,101.579998
2024-05-02 00:00:00,103.020000
2024-05-03 00:00:00,104.974998
2024-05-06 00:00:00,105.955002
2024-05-07 00:00:00,106.195000
2024-05-08 00:00:00,103.264999
2024-05-09 00:00:00,104.410000
2024-05-10 00:00:00,106.044998
2024-05-13 00:00:00,105.904999
2024-05-14 00:00:00,106.520000
2024-05-15 00:00:00,107.400002
2024-05-16 00:00:00,106.794998
2024-05-17 00:00:00,106.630001
2024-05-20 00:00:00,106.244999
2024-05-21 00:00:00,105.415001
2024-05-22 00:00:00,103.910000
2024-05-23 00:00:00,101.649998
2024-05-24 00:00:00,101.665001
2024-05-28 00:00:00,101.914997
2024-05-29 00:00:00,99.919998
2024-05-30 00:00:00,100.320000
2024-05-31 00:00:00,101.404999
2024-06-03 00:00:00,100.579998
2024-06-04 00:00:00,97.620003
2024-06-05 00:00:00,98.500000
2024-06-06 00:00:00,97.855000
2024-06-07 00:00:00,96.974998
2024-06-10 00:00:00,96.024998
2024-06-11 00:00:00,95.074997
2024-06-12 00:00:00,96.299999
2024-06-13 00:00:00,94.680000
2024-06-14 00:00:00,94.090000
2024-06-17 00:00:00,95.020000
2024-06-18 00:00:00,96.919998
2024-06-20 00:00:00,95.075001
2024-06-21 00:00:00,92.649998
2024-06-24 00:00:00,93.924999
2024-06-25 00:00:00,94.654999
2024-06-26 00:00:00,93.955002
2024-06-27 00:00:00,94.090000
2024-06-28 00:00:00,93.254997
2024-07-01 00:00:00,92.084999
2024-07-02 00:00:00,91.514999
